Name,Type,Address,City,Region
Govt. Industrial Training Institute,ITI,"Vidyanagar, Hubli",Hubli,Hubli/Dharwad
Dr. Ambedkar Shikshan Sam ITI,ITI,"Nekar Nagar, Hubli",Hubli,Hubli/Dharwad
Mahila Vidyapeeta ITI,ITI,"Vidyanagar, Hubli",Hubli,Hubli/Dharwad
Shri Guru Gorakshanath ITI,ITI,"Tarihal Road, Hubli",Hubli,Hubli/Dharwad
Smt. Kamalamma Lahoti ITI,ITI,"Station Road, Hubli",Hubli,Hubli/Dharwad
Sri Siddeshwar ITI,ITI,"Hosur Road, Hubli",Hubli,Hubli/Dharwad
Govt. ITI for Women,ITI,"Gokul Road, Hubli",Hubli,Hubli/Dharwad
Basaveshwar ITI,ITI,"Industrial Area, Dharwad",Hubli,Hubli/Dharwad
Karnataka Lingayat Education Society ITI,ITI,"Vidyanagar, Hubli",Hubli,Hubli/Dharwad
Gurumallappa Chabbi Rural ITI,ITI,"Hosa Yellapur, Dharwad",Hubli,Hubli/Dharwad
MSME Development Institute (Hubli),MSME,"Industrial Estate, Gokul Road, Hubli",Hubli,Hubli/Dharwad
Hubli Engineering Cluster,MSME,"Tarihal Industrial Area, Gokul Road, Hubli",Hubli,Hubli/Dharwad
Auto Cluster,MSME,"Gokul Road, Hubli",Hubli,Hubli/Dharwad
Readymade Garment Cluster,MSME,"Gokul Road, Hubli",Hubli,Hubli/Dharwad
Belur Industrial Estate,MSME,"Belur, Dharwad",Hubli,Hubli/Dharwad
Mummigatti Industrial Estate,MSME,"Mummigatti, Dharwad",Hubli,Hubli/Dharwad
Kotur Industrial Estate,MSME,"Kotur, Dharwad",Hubli,Hubli/Dharwad
Tungabhadra Industrial Estate,MSME,"Navanagar, Hubli",Hubli,Hubli/Dharwad
Gandhi Nagar Industrial Area,MSME,"Gandhi Nagar, Hubli",Hubli,Hubli/Dharwad
Garment Manufacturing Cluster,MSME,"Gokul Road, Hubli",Hubli,Hubli/Dharwad
Sri Guru Raghavendra ITI,ITI,Malmaddi,Dharwad,Hubli/Dharwad
Sri Sidhlingeshwar ITI,ITI,Narayanapur Peth,Dharwad,Hubli/Dharwad
Sri Renukadevi ITI,ITI,Keshwapur,Hubli,Hubli/Dharwad
Jnanajyothi ITI,ITI,Nehru Nagar,Hubli,Hubli/Dharwad
Shivakumara Swamy ITI,ITI,Old PB Road,Dharwad,Hubli/Dharwad
Mangalam ITI,ITI,Gokul Road,Hubli,Hubli/Dharwad
Shri Veerabhadreshwar ITI,ITI,M G Market,Hubli,Hubli/Dharwad
Venkateshwara ITI,ITI,Savanur Road,Hubli,Hubli/DDharwad
Govt. ITI for Women,ITI,Saraswatpur,Dharwad,Hubli/Dharwad
Basava ITI Kalghatgi,ITI,SH 73,Kalghatgi,Hubli/Dharwad
Govt ITI Kundgol,ITI,Haliyal Road,Kundgol,Hubli/Dharwad
Govt ITI Annigeri,ITI,Gadag Road,Annigeri,Hubli/Dharwad
Vivekananda ITI,ITI,Bada Cross,Dharwad,Hubli/Dharwad
St. Michael's ITI,ITI,Station Road,Hubli,Hubli/Dharwad
Shree ITI,ITI,Bhavani Nagar,Hubli,Hubli/Dharwad
Basaveshwara Rural ITI,ITI,Amminabhavi,Dharwad,Hubli/Dharwad
Maratha Mandal ITI,ITI,Malaprabha Nagar,Dharwad,Hubli/Dharwad
Nehru ITI,ITI,Nehru Nagar,Hubli,Hubli/Dharwad
Indira ITI,ITI,Anchatgeri,Hubli,Hubli/Dharwad
Navanagar ITI,ITI,Navanagar,Hubli,Hubli/Dharwad
Tata Motors Ltd (Dharwad Plant),MSME (Anchor),Mummigatti Industrial Area,Dharwad,Hubli/Dharwad
VRL Logistics Ltd Workshop,MSME,Varur,Hubli,Hubli/Dharwad
BDK Group of Companies,MSME,Gokul Road Industrial Estate,Hubli,Hubli/Dharwad
Hope Electrodes Pvt. Ltd.,MSME,Gokul Road,Hubli,Hubli/Dharwad
Apex Auto Pvt. Ltd.,MSME,Gokul Road,Hubli,Hubli/Dharwad
Rayapur Industrial Area,MSME,Rayapur,Dharwad,Hubli/Dharwad
Tarihal Industrial Area,MSME,Tarihal,Hubli,Hubli/Dharwad
Gamanagatti Industrial Area,MSME,Gamanagatti,Hubli,Hubli/Dharwad
Tool Room Cluster,MSME,Tarihal Road,Hubli,Hubli/Dharwad
Electronics Manufacturing Cluster,MSME,Tarihal,Hubli,Hubli/Dharwad
Furniture Cluster,MSME,Bhosale Nagar,Hubli,Hubli/Dharwad
Printing Cluster,MSME,Keshwapur,Hubli,Hubli/Dharwad
Food Processing Cluster,MSME,Navanagar,Hubli,Hubli/Dharwad
FMCG Cluster,MSME,Gokul Road,Hubli,Hubli/Dharwad
Sanitary Ware Cluster,MSME,Vidyanagar,Hubli,Hubli/Dharwad
Marsons Hubli,MSME,Gokul Road Industrial Estate,Hubli,Hubli/Dharwad
Vibhava Industries,MSME,Tarihal Industrial Area,Hubli,Hubli/Dharwad
Pai Profiles Pvt. Ltd.,MSME,Gokul Road,Hubli,Hubli/Dharwad
Shakti Engineering Works,MSME,Belur Industrial Area,Dharwad,Hubli/Dharwad
Hubli Coats & Tubes Pvt Ltd,MSME,Tarihal,Hubli,Hubli/Dharwad
Karnataka Milk Federation (KMF) Dharwad,MSME,Lakkammanahalli Industrial Area,Dharwad,Hubli/Dharwad
Walvoil Fluid Power India,MSME,Belur Industrial Area,Dharwad,Hubli/Dharwad
Classic Engineering Construction,MSME,Navanagar,Hubli,Hubli/Dharwad
Desai Foods Pvt Ltd,MSME,Rayapur Industrial Area,Dharwad,Hubli/Dharwad
DTDC Express Hub,MSME,Gokul Road,Hubli,Hubli/Dharwad
Sri Ganesh Enterprises,MSME,Dharwad Road,Hubli,Hubli/Dharwad
Vinayaka Metals Works,MSME,Gokul Road,Hubli,Hubli/Dharwad
Uflex Ltd,MSME,Gamanagatti Industrial Area,Hubli,Hubli/Dharwad
Agro-Food Processing Cluster,MSME,Belur,Dharwad,Hubli/Dharwad
Foundry Cluster,MSME,Tarihal,Hubli,Hubli/Dharwad
