Name,Type,Address,City,Region
Govt. Industrial Training Institute, ITI, Vidyanagar, Hubli, Hubli/Dharwad
Dr. Ambedkar Shikshan Sam ITI, ITI, Nekar Nagar, Hubli, Hubli/Dharwad
Mahila Vidyapeeta ITI, ITI, Vidyanagar, Hubli, Hubli/Dharwad
Shri Guru Gorakshanath ITI, ITI, Tarihal Road, Hubli, Hubli/Dharwad
Smt. Kamalamma Lahoti ITI, ITI, Station Road, Hubli, Hubli/Dharwad
Sri Siddeshwar ITI, ITI, Hosur Road, Hubli, Hubli/Dharwad
Govt. ITI for Women, ITI, Gokul Road, Hubli, Hubli/Dharwad
Basaveshwar ITI, ITI, Industrial Area, Dharwad, Hubli/Dharwad
Karnataka Lingayat Education Society ITI, ITI, Vidyanagar, Hubli, Hubli/Dharwad
Gurumallappa Chabbi Rural ITI, ITI, Hosa Yellapur, Dharwad, Hubli/Dharwad
Sri Guru Raghavendra ITI, ITI, Malmaddi, Dharwad, Hubli/Dharwad
Sri Sidhlingeshwar ITI, ITI, Narayanapur Peth, Dharwad, Hubli/Dharwad
Sri Renukadevi ITI, ITI, Keshwapur, Hubli, Hubli/Dharwad
Jnanajyothi ITI, ITI, Nehru Nagar, Hubli, Hubli/Dharwad
Shivakumara Swamy ITI, ITI, Old PB Road, Dharwad, Hubli/Dharwad
Mangalam ITI, ITI, Gokul Road, Hubli, Hubli/Dharwad
Shri Veerabhadreshwar ITI, ITI, M G Market, Hubli, Hubli/Dharwad
Venkateshwara ITI, ITI, Savanur Road, Hubli, Hubli/Dharwad
Govt. ITI for Women, ITI, Saraswatpur, Dharwad, Hubli/Dharwad
Basava ITI Kalghatgi, ITI, SH 73, Kalghatgi, Hubli/Dharwad
Govt ITI Kundgol, ITI, Haliyal Road, Kundgol, Hubli/Dharwad
Govt ITI Annigeri, ITI, Gadag Road, Annigeri, Hubli/Dharwad
Vivekananda ITI, ITI, Bada Cross, Dharwad, Hubli/Dharwad
St. Michael's ITI, ITI, Station Road, Hubli, Hubli/Dharwad
Shree ITI, ITI, Bhavani Nagar, Hubli, Hubli/Dharwad
MSME Development Institute (Hubli), MSME, Industrial Estate, Gokul Road, Hubli, Hubli/Dharwad
Hubli Engineering Cluster, MSME, Tarihal Industrial Area, Gokul Road, Hubli, Hubli/Dharwad
Auto Cluster, MSME, Gokul Road, Hubli, Hubli/Dharwad
Readymade Garment Cluster, MSME, Gokul Road, Hubli, Hubli/Dharwad
Belur Industrial Estate, MSME, Belur, Dharwad, Hubli/Dharwad
Mummigatti Industrial Estate, MSME, Mummigatti, Dharwad, Hubli/Dharwad
Kotur Industrial Estate, MSME, Kotur, Dharwad, Hubli/Dharwad
Tungabhadra Industrial Estate, MSME, Navanagar, Hubli, Hubli/Dharwad
Gandhi Nagar Industrial Area, MSME, Gandhi Nagar, Hubli, Hubli/Dharwad
Garment Manufacturing Cluster, MSME, Gokul Road, Hubli, Hubli/Dharwad
Tool Room Cluster, MSME, Tarihal Road, Hubli, Hubli/Dharwad
Hindustan Aeronautics Ltd. (SME vendors), MSME, Gokul Road, Hubli, Hubli/Dharwad
Electronics Cluster, MSME, Tarihal, Hubli, Hubli/Dharwad
Durgad Bail Industrial Estate, MSME, Durgad Bail, Hubli, Hubli/Dharwad
Furniture Cluster, MSME, Bhosale Nagar, Hubli, Hubli/Dharwad
Vidyagiri Industrial Area, MSME, Vidyagiri, Dharwad, Hubli/Dharwad
Jewellery Cluster, MSME, Hosur, Hubli, Hubli/Dharwad
Printing Cluster, MSME, Keshwapur, Hubli, Hubli/Dharwad
Food Processing Cluster, MSME, Navanagar, Hubli, Hubli/Dharwad
FMCG Cluster, MSME, Gokul Road, Hubli, Hubli/Dharwad
Gokul Road Industrial Estate (Block A), MSME, Gokul Road, Hubli, Hubli/Dharwad
Gokul Road Industrial Estate (Block B), MSME, Gokul Road, Hubli, Hubli/Dharwad
Electric Equipment Cluster, MSME, Nehru Nagar, Hubli, Hubli/Dharwad
Sanitary Ware Cluster, MSME, Vidyanagar, Hubli, Hubli/Dharwad
Hope Electrodes Pvt. Ltd., MSME, Gokul Road, Hubli, Hubli/Dharwad
Sri Ganesh Enterprises, MSME, Dharwad Road, Hubli, Hubli/Dharwad
Vinayaka Metals Works, MSME, Gokul Road, Hubli, Hubli/Dharwad
